Account Segment,Account Name,Opportunity Name,Close Date,Deal Type,Amount,Products (Rollup),Competitor 1,Competitor 2,Primary Outcome Reason,Outcome Sub Reason,Lost Opportunity Details,First Win Date,Tenure (years)
Mid-Market,FinancialPlanning Solutions,Renewal - ACCT-5534 - Mid-Market 2024,09/22/2024,Renewal,"$71,000.00","Financial Planning
Forecasting & Budgeting
Variance Analysis
Multi-entity Consolidation",Adaptive Insights,Planful,Integration Challenges,ERP Compatibility,"Customer migrated from NetSuite to Microsoft Dynamics 365. Our Dynamics connector was beta with limited functionality. Needed real-time GL sync which wasn't supported. Competitor had mature Dynamics integration with proven implementations. Customer couldn't wait for our roadmap.",6/30/2022,2.2
Enterprise,CyberSecurity Enterprises,Renewal - Enterprise Multi-Year 2024,09/20/2024,Renewal,"$198,000.00","SIEM Platform
Threat Detection
Incident Response
Security Analytics",Splunk,Datadog,Competitive Displacement,AI/ML Features,"Competitor released AI-powered threat detection significantly reducing false positives. Our ML capabilities were 18 months behind on roadmap. Customer's security team overwhelmed by alerts needed immediate solution. Pricing was comparable but technology gap was insurmountable.",3/15/2021,3.5
Commercial,HRTech Innovations,Renewal - ACCT-8891 - Commercial Plan 2024,09/18/2024,Renewal,"$44,500.00","Applicant Tracking
Onboarding Automation
Employee Records
Performance Management",Greenhouse,Lever,Change in Requirements,Merger Activity,"Customer acquired by larger company with existing HR stack (Workday). Corporate IT mandated platform consolidation within 90 days. Strong user satisfaction and ROI but M&A drove decision. No opportunity to compete as decision was made at parent company level.",10/5/2022,1.9
SMB,DesignStudio Collective,Renewal - SMB Quarterly 2024,09/15/2024,Renewal,"$11,200.00","Design Collaboration
Feedback Management
Version Control
Client Portal",Figma,InVision,Product Fit,Feature Limitations,"Studio needed advanced prototyping and handoff features which our platform lacked. Figma became industry standard for their design workflow. Team collaboration features were good but core design tools weren't competitive. Customer wanted single platform for entire design process.",8/1/2024,0.2
Mid-Market,RealEstate PropTech,Renewal - ACCT-7712 - Mid-Market Annual 2024,09/12/2024,Renewal,"$82,000.00","Property Management
Tenant Portal
Maintenance Tracking
Lease Management",AppFolio,Buildium,Poor Onboarding Experience,Implementation Delays,"Data migration from legacy system took 4 months vs promised 6 weeks. Multiple data quality issues required manual cleanup. Customer lost trust in our ability to deliver. Support tickets averaged 72-hour response during critical migration period. Relationship never recovered.",1/20/2023,1.7
Enterprise,MediaStreaming Network,Renewal - Enterprise Annual 2024,09/10/2024,Renewal,"$225,000.00","Content Delivery Network
Video Transcoding
Analytics & Insights
DRM Protection",Cloudflare,Akamai,Pricing & Budget,Cost Optimization,"Customer re-evaluated CDN costs during contract renewal. Competitor offered 35% cost savings with comparable performance. Our pricing model based on bandwidth didn't scale favorably for their growing traffic. Attempted custom pricing but couldn't match competitor economics.",5/8/2020,4.3
Commercial,CustomerSuccess Platform,Renewal - ACCT-9456 - Commercial 2024,09/8/2024,Renewal,"$49,000.00","Customer Health Scoring
Churn Prediction
Playbook Automation
NPS Surveys",Gainsight,ChurnZero,Low Product Usage,Internal Champion Left,"Primary user and internal champion (VP Customer Success) left for competitor. New leadership questioned platform value and ROI. Utilization dropped from 85% to 23% over 3 months. Attempted executive alignment meeting but new VP already evaluating alternatives.",7/25/2023,1.1
SMB,FoodTech Delivery,Renewal - SMB Annual 2024,09/5/2024,Renewal,"$16,800.00","Order Management
Kitchen Display System
Delivery Dispatch
Customer App",Toast,Square,Financial Distress,Reduced Revenue,"Restaurant industry downturn post-pandemic. Customer's revenue dropped 40% with reduced delivery volume. Needed to cut costs across all vendors. Moved to lower-cost competitor with basic features. Acknowledged our platform was superior but survival was priority.",3/18/2023,1.5
Mid-Market,LegalTech Attorneys,Renewal - ACCT-6634 - Mid-Market Plan 2024,09/3/2024,Renewal,"$73,500.00","Case Management
Document Automation
Billing & Time Tracking
Client Portal",Clio,MyCase,Product Quality & Experience,UX Complexity,"Attorneys found platform too complex for day-to-day use. Training requirements were high with steep learning curve. Support tickets indicated recurring confusion with workflows. Competitor offered simpler interface better suited for small law firms. Productivity actually decreased despite powerful features.",11/12/2022,1.8
Enterprise,AutoTech Manufacturers,Renewal - Enterprise Multi-Year 2024,09/1/2024,Renewal,"$215,000.00","PLM Platform
CAD Integration
Requirements Management
Change Control",Siemens Teamcenter,PTC Windchill,Consolidation,Enterprise Standardization,"Corporate engineering mandate to standardize on Siemens PLM across all divisions globally. Local engineering team preferred our platform but corporate IT strategy won. 24-month migration with significant change management. Decision made 2 levels above our stakeholders.",6/20/2020,4.2
