ticket_id,customer_id,company_name,segment,category,issue_type,severity,created_date,resolved_date,resolution_hours,description,resolution_notes,csat_score
TICKET-00011,CUST-0004,ScaleSystems LLC,Enterprise,Technical,Integration issue,High,2025-12-05,2025-12-05,10,ScaleSystems LLC (Enterprise) reported: Integration issue. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00012,CUST-0004,ScaleSystems LLC,Enterprise,Billing,Plan change request,Low,2025-10-28,2025-10-30,53,ScaleSystems LLC (Enterprise) reported: Plan change request. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00013,CUST-0004,ScaleSystems LLC,Enterprise,Technical,Data sync problem,Low,2025-09-07,2025-09-13,163,ScaleSystems LLC (Enterprise) reported: Data sync problem. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00014,CUST-0004,ScaleSystems LLC,Enterprise,Training,How-to question,Low,2025-09-21,2025-09-26,125,ScaleSystems LLC (Enterprise) reported: How-to question. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00015,CUST-0004,ScaleSystems LLC,Enterprise,Training,How-to question,Low,2025-12-15,2025-12-17,55,ScaleSystems LLC (Enterprise) reported: How-to question. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00016,CUST-0005,IntegrationHQ Solutions,Commercial,Feature,UI/UX feedback,High,2025-06-13,2025-06-14,45,IntegrationHQ Solutions (Commercial) reported: UI/UX feedback. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00017,CUST-0005,IntegrationHQ Solutions,Commercial,Billing,Pricing clarification,High,2024-12-08,2024-12-08,8,IntegrationHQ Solutions (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00018,CUST-0005,IntegrationHQ Solutions,Commercial,Billing,Payment issue,Low,2026-03-04,2026-03-09,120,IntegrationHQ Solutions (Commercial) reported: Payment issue. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00019,CUST-0005,IntegrationHQ Solutions,Commercial,Training,How-to question,Low,2026-04-13,2026-04-14,44,IntegrationHQ Solutions (Commercial) reported: How-to question. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00020,CUST-0005,IntegrationHQ Solutions,Commercial,Technical,API error,Critical,2026-06-10,2026-06-10,4,IntegrationHQ Solutions (Commercial) reported: API error. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00021,CUST-0006,AuditPro LLC,Commercial,Training,Documentation request,Medium,2024-03-26,2024-03-29,84,AuditPro LLC (Commercial) reported: Documentation request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00022,CUST-0006,AuditPro LLC,Commercial,Technical,Data sync problem,Medium,2023-07-06,2023-07-08,63,AuditPro LLC (Commercial) reported: Data sync problem. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00023,CUST-0006,AuditPro LLC,Commercial,Feature,UI/UX feedback,Medium,2024-02-05,2024-02-07,66,AuditPro LLC (Commercial) reported: UI/UX feedback. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00024,CUST-0006,AuditPro LLC,Commercial,Technical,Integration issue,Medium,2026-02-25,2026-02-25,12,AuditPro LLC (Commercial) reported: Integration issue. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00025,CUST-0007,DisasterRecovery Solutions,SMB,Billing,Payment issue,Medium,2023-07-14,2023-07-14,18,DisasterRecovery Solutions (SMB) reported: Payment issue. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00026,CUST-0008,DevTools Inc,Commercial,Technical,Authentication failure,Medium,2025-01-03,2025-01-05,60,DevTools Inc (Commercial) reported: Authentication failure. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00027,CUST-0008,DevTools Inc,Commercial,Feature,Feature request,Low,2024-02-07,2024-02-09,56,DevTools Inc (Commercial) reported: Feature request. Severity: Low.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00028,CUST-0008,DevTools Inc,Commercial,Billing,Payment issue,Low,2025-02-10,2025-02-13,83,DevTools Inc (Commercial) reported: Payment issue. Severity: Low.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00029,CUST-0008,DevTools Inc,Commercial,Billing,Payment issue,High,2025-06-08,2025-06-09,33,DevTools Inc (Commercial) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00030,CUST-0008,DevTools Inc,Commercial,Billing,Plan change request,Medium,2025-02-10,2025-02-12,53,DevTools Inc (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00031,CUST-0008,DevTools Inc,Commercial,Technical,Data sync problem,Medium,2024-05-10,2024-05-12,64,DevTools Inc (Commercial) reported: Data sync problem. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00032,CUST-0008,DevTools Inc,Commercial,Training,Best practices,Medium,2024-02-07,2024-02-10,87,DevTools Inc (Commercial) reported: Best practices. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00033,CUST-0008,DevTools Inc,Commercial,Billing,Plan change request,High,2023-08-04,2023-08-04,5,DevTools Inc (Commercial) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00034,CUST-0008,DevTools Inc,Commercial,Feature,UI/UX feedback,Low,2024-08-11,2024-08-16,136,DevTools Inc (Commercial) reported: UI/UX feedback. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00035,CUST-0008,DevTools Inc,Commercial,Feature,Missing functionality,High,2024-09-30,2024-10-01,25,DevTools Inc (Commercial) reported: Missing functionality. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00036,CUST-0008,DevTools Inc,Commercial,Billing,Plan change request,Critical,2023-10-17,2023-10-17,4,DevTools Inc (Commercial) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00037,CUST-0008,DevTools Inc,Commercial,Technical,API error,Critical,2024-06-27,2024-06-27,7,DevTools Inc (Commercial) reported: API error. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00038,CUST-0009,CacheMaster Labs,Commercial,Feature,UI/UX feedback,Low,2024-04-01,2024-04-07,154,CacheMaster Labs (Commercial) reported: UI/UX feedback. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00039,CUST-0009,CacheMaster Labs,Commercial,Billing,Plan change request,High,2024-07-29,2024-07-29,13,CacheMaster Labs (Commercial) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00040,CUST-0009,CacheMaster Labs,Commercial,Training,Documentation request,Medium,2024-02-08,2024-02-11,76,CacheMaster Labs (Commercial) reported: Documentation request. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00041,CUST-0009,CacheMaster Labs,Commercial,Billing,Plan change request,Medium,2023-10-20,2023-10-22,50,CacheMaster Labs (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00042,CUST-0009,CacheMaster Labs,Commercial,Feature,Missing functionality,High,2026-04-03,2026-04-03,4,CacheMaster Labs (Commercial) reported: Missing functionality. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00043,CUST-0009,CacheMaster Labs,Commercial,Billing,Payment issue,Medium,2023-11-05,2023-11-09,96,CacheMaster Labs (Commercial) reported: Payment issue. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00044,CUST-0009,CacheMaster Labs,Commercial,Technical,Integration issue,Medium,2023-06-11,2023-06-12,35,CacheMaster Labs (Commercial) reported: Integration issue. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00045,CUST-0009,CacheMaster Labs,Commercial,Feature,Workflow improvement,Medium,2025-08-26,2025-08-27,42,CacheMaster Labs (Commercial) reported: Workflow improvement. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00046,CUST-0009,CacheMaster Labs,Commercial,Billing,Plan change request,High,2026-05-12,2026-05-12,10,CacheMaster Labs (Commercial) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00047,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Pricing clarification,High,2026-05-17,2026-05-17,10,AnalyticsCo Inc (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00048,CUST-0010,AnalyticsCo Inc,Commercial,Feature,UI/UX feedback,Critical,2025-05-22,2025-05-22,8,AnalyticsCo Inc (Commercial) reported: UI/UX feedback. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00049,CUST-0010,AnalyticsCo Inc,Commercial,Technical,Performance slow,Medium,2025-08-07,2025-08-10,94,AnalyticsCo Inc (Commercial) reported: Performance slow. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00050,CUST-0010,AnalyticsCo Inc,Commercial,Technical,API error,High,2025-04-22,2025-04-23,24,AnalyticsCo Inc (Commercial) reported: API error. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00051,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Payment issue,High,2025-12-11,2025-12-12,31,AnalyticsCo Inc (Commercial) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00052,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Invoice question,High,2026-04-09,2026-04-09,21,AnalyticsCo Inc (Commercial) reported: Invoice question. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00053,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Plan change request,Critical,2025-02-08,2025-02-08,3,AnalyticsCo Inc (Commercial) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00054,CUST-0010,AnalyticsCo Inc,Commercial,Training,Best practices,Critical,2026-05-20,2026-05-20,4,AnalyticsCo Inc (Commercial) reported: Best practices. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00055,CUST-0010,AnalyticsCo Inc,Commercial,Training,Documentation request,Low,2025-08-27,2025-08-29,59,AnalyticsCo Inc (Commercial) reported: Documentation request. Severity: Low.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00056,CUST-0010,AnalyticsCo Inc,Commercial,Training,How-to question,High,2025-12-06,2025-12-07,46,AnalyticsCo Inc (Commercial) reported: How-to question. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00057,CUST-0010,AnalyticsCo Inc,Commercial,Technical,Authentication failure,Medium,2025-03-03,2025-03-03,20,AnalyticsCo Inc (Commercial) reported: Authentication failure. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00058,CUST-0010,AnalyticsCo Inc,Commercial,Feature,Feature request,High,2026-03-22,2026-03-22,9,AnalyticsCo Inc (Commercial) reported: Feature request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00059,CUST-0010,AnalyticsCo Inc,Commercial,Feature,Workflow improvement,Medium,2025-11-25,2025-11-27,53,AnalyticsCo Inc (Commercial) reported: Workflow improvement. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00060,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Plan change request,Medium,2024-10-02,2024-10-05,89,AnalyticsCo Inc (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00061,CUST-0010,AnalyticsCo Inc,Commercial,Billing,Invoice question,Critical,2026-02-13,2026-02-13,2,AnalyticsCo Inc (Commercial) reported: Invoice question. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00062,CUST-0010,AnalyticsCo Inc,Commercial,Training,Best practices,Medium,2025-05-19,2025-05-20,32,AnalyticsCo Inc (Commercial) reported: Best practices. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00063,CUST-0011,CloudScale Group,SMB,Training,Setup help,High,2025-12-24,2025-12-24,12,CloudScale Group (SMB) reported: Setup help. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00064,CUST-0012,AuditPro Solutions,SMB,Billing,Invoice question,Medium,2024-09-10,2024-09-12,67,AuditPro Solutions (SMB) reported: Invoice question. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00065,CUST-0012,AuditPro Solutions,SMB,Feature,Workflow improvement,Medium,2025-04-10,2025-04-13,93,AuditPro Solutions (SMB) reported: Workflow improvement. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00066,CUST-0012,AuditPro Solutions,SMB,Feature,Missing functionality,Low,2025-03-15,2025-03-17,64,AuditPro Solutions (SMB) reported: Missing functionality. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00067,CUST-0012,AuditPro Solutions,SMB,Technical,Data sync problem,Medium,2025-02-22,2025-02-25,94,AuditPro Solutions (SMB) reported: Data sync problem. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00068,CUST-0012,AuditPro Solutions,SMB,Technical,Data sync problem,Medium,2024-11-26,2024-11-28,58,AuditPro Solutions (SMB) reported: Data sync problem. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00069,CUST-0012,AuditPro Solutions,SMB,Feature,UI/UX feedback,Medium,2025-03-09,2025-03-10,29,AuditPro Solutions (SMB) reported: UI/UX feedback. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00070,CUST-0012,AuditPro Solutions,SMB,Billing,Plan change request,Medium,2025-09-10,2025-09-10,15,AuditPro Solutions (SMB) reported: Plan change request. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00071,CUST-0012,AuditPro Solutions,SMB,Billing,Invoice question,High,2024-08-15,2024-08-15,9,AuditPro Solutions (SMB) reported: Invoice question. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00072,CUST-0012,AuditPro Solutions,SMB,Feature,UI/UX feedback,High,2025-12-15,2025-12-16,25,AuditPro Solutions (SMB) reported: UI/UX feedback. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00073,CUST-0013,InnovateLabs LLC,SMB,Billing,Payment issue,High,2025-02-21,2025-02-22,28,InnovateLabs LLC (SMB) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00074,CUST-0013,InnovateLabs LLC,SMB,Billing,Pricing clarification,Medium,2025-02-27,2025-03-02,82,InnovateLabs LLC (SMB) reported: Pricing clarification. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00075,CUST-0013,InnovateLabs LLC,SMB,Technical,Integration issue,Low,2024-11-01,2024-11-03,71,InnovateLabs LLC (SMB) reported: Integration issue. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00076,CUST-0013,InnovateLabs LLC,SMB,Billing,Invoice question,High,2025-11-22,2025-11-22,21,InnovateLabs LLC (SMB) reported: Invoice question. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00077,CUST-0013,InnovateLabs LLC,SMB,Billing,Plan change request,Critical,2025-03-02,2025-03-02,3,InnovateLabs LLC (SMB) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00078,CUST-0013,InnovateLabs LLC,SMB,Billing,Pricing clarification,Medium,2024-11-07,2024-11-08,33,InnovateLabs LLC (SMB) reported: Pricing clarification. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00079,CUST-0013,InnovateLabs LLC,SMB,Billing,Payment issue,Medium,2025-11-07,2025-11-08,30,InnovateLabs LLC (SMB) reported: Payment issue. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00080,CUST-0013,InnovateLabs LLC,SMB,Billing,Payment issue,High,2025-12-16,2025-12-17,35,InnovateLabs LLC (SMB) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00081,CUST-0013,InnovateLabs LLC,SMB,Training,Documentation request,High,2025-05-23,2025-05-24,47,InnovateLabs LLC (SMB) reported: Documentation request. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00082,CUST-0013,InnovateLabs LLC,SMB,Training,How-to question,Low,2024-05-14,2024-05-16,52,InnovateLabs LLC (SMB) reported: How-to question. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00083,CUST-0013,InnovateLabs LLC,SMB,Feature,Missing functionality,High,2025-12-09,2025-12-09,20,InnovateLabs LLC (SMB) reported: Missing functionality. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00084,CUST-0014,CodeCraft Group,Commercial,Billing,Plan change request,Medium,2025-03-09,2025-03-09,15,CodeCraft Group (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00085,CUST-0014,CodeCraft Group,Commercial,Feature,Workflow improvement,High,2025-12-04,2025-12-04,9,CodeCraft Group (Commercial) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00086,CUST-0014,CodeCraft Group,Commercial,Feature,Workflow improvement,High,2025-05-27,2025-05-28,34,CodeCraft Group (Commercial) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00087,CUST-0014,CodeCraft Group,Commercial,Technical,Authentication failure,Low,2024-12-12,2024-12-16,106,CodeCraft Group (Commercial) reported: Authentication failure. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00088,CUST-0014,CodeCraft Group,Commercial,Training,How-to question,Medium,2024-09-26,2024-09-29,91,CodeCraft Group (Commercial) reported: How-to question. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00089,CUST-0014,CodeCraft Group,Commercial,Training,Setup help,Low,2025-01-14,2025-01-16,68,CodeCraft Group (Commercial) reported: Setup help. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00090,CUST-0014,CodeCraft Group,Commercial,Billing,Plan change request,Critical,2024-04-19,2024-04-19,9,CodeCraft Group (Commercial) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00091,CUST-0015,DataBridge Corp,Commercial,Technical,Performance slow,High,2026-06-09,2026-06-10,32,DataBridge Corp (Commercial) reported: Performance slow. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00092,CUST-0015,DataBridge Corp,Commercial,Technical,API error,Medium,2025-08-31,2025-09-02,66,DataBridge Corp (Commercial) reported: API error. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00093,CUST-0015,DataBridge Corp,Commercial,Technical,Integration issue,Medium,2025-12-21,2025-12-22,30,DataBridge Corp (Commercial) reported: Integration issue. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00094,CUST-0015,DataBridge Corp,Commercial,Feature,Workflow improvement,Low,2026-04-17,2026-04-22,139,DataBridge Corp (Commercial) reported: Workflow improvement. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00095,CUST-0015,DataBridge Corp,Commercial,Training,Setup help,Medium,2024-12-09,2024-12-11,59,DataBridge Corp (Commercial) reported: Setup help. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00096,CUST-0015,DataBridge Corp,Commercial,Feature,UI/UX feedback,Low,2025-10-31,2025-11-01,32,DataBridge Corp (Commercial) reported: UI/UX feedback. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00097,CUST-0015,DataBridge Corp,Commercial,Technical,API error,Medium,2024-09-09,2024-09-11,65,DataBridge Corp (Commercial) reported: API error. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00098,CUST-0015,DataBridge Corp,Commercial,Training,Best practices,Critical,2025-10-17,2025-10-17,9,DataBridge Corp (Commercial) reported: Best practices. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00099,CUST-0015,DataBridge Corp,Commercial,Billing,Plan change request,Medium,2025-07-15,2025-07-15,14,DataBridge Corp (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00100,CUST-0015,DataBridge Corp,Commercial,Billing,Pricing clarification,High,2025-06-07,2025-06-08,40,DataBridge Corp (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00101,CUST-0015,DataBridge Corp,Commercial,Technical,Authentication failure,Medium,2026-04-10,2026-04-13,76,DataBridge Corp (Commercial) reported: Authentication failure. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00102,CUST-0016,APIGateway Inc,SMB,Feature,Workflow improvement,High,2024-02-04,2024-02-05,38,APIGateway Inc (SMB) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00103,CUST-0017,CloudVision LLC,Enterprise,Feature,Missing functionality,Critical,2026-05-18,2026-05-18,5,CloudVision LLC (Enterprise) reported: Missing functionality. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00104,CUST-0017,CloudVision LLC,Enterprise,Technical,Data sync problem,High,2025-03-10,2025-03-10,22,CloudVision LLC (Enterprise) reported: Data sync problem. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00105,CUST-0017,CloudVision LLC,Enterprise,Billing,Pricing clarification,High,2026-02-11,2026-02-12,30,CloudVision LLC (Enterprise) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00106,CUST-0018,CloudScale Corp,SMB,Feature,Feature request,Medium,2024-10-27,2024-10-27,15,CloudScale Corp (SMB) reported: Feature request. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00107,CUST-0018,CloudScale Corp,SMB,Billing,Plan change request,High,2023-04-08,2023-04-08,7,CloudScale Corp (SMB) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00108,CUST-0018,CloudScale Corp,SMB,Technical,API error,High,2023-12-25,2023-12-25,20,CloudScale Corp (SMB) reported: API error. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00109,CUST-0018,CloudScale Corp,SMB,Training,How-to question,Low,2025-12-26,2025-12-28,58,CloudScale Corp (SMB) reported: How-to question. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00110,CUST-0019,ComplianceHub Group,Commercial,Technical,API error,Low,2026-06-27,2026-07-01,110,ComplianceHub Group (Commercial) reported: API error. Severity: Low.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00111,CUST-0019,ComplianceHub Group,Commercial,Technical,Data sync problem,Low,2026-05-21,2026-05-22,34,ComplianceHub Group (Commercial) reported: Data sync problem. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00112,CUST-0019,ComplianceHub Group,Commercial,Billing,Pricing clarification,High,2026-04-17,2026-04-18,35,ComplianceHub Group (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
