doc_id,customer_id,company_name,segment,churn_category,specific_reason,arr,tenure_months,risk_score,feature_adoption,support_tickets_30d,last_engagement_days,is_churned,document
ANALYSIS-0011,CUST-0022,SecurityFirst Systems,Enterprise,Support Issues,No training,189900,13,63,34,20,69,0,"# Churn Risk Analysis: SecurityFirst Systems

## Executive Summary
SecurityFirst Systems (CUST-0022) is a Enterprise customer in Manufacturing with $189,900 ARR and 13 months of tenure. Current risk score: 63%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** No training
2. **Feature Adoption:** 34% (below the Enterprise benchmark of 70%)
3. **Support Activity:** 20 tickets per 30 days
4. **Engagement:** last interaction 69 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: no training.

### Behavioural Patterns
- Feature adoption plateaued at 34%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Enterprise accounts, support issues typically calls for executive intervention.

## Recommended Actions

### Immediate (7 days)
1. Schedule an executive business review
2. Address no training directly
3. Assign a dedicated technical account manager

### Short-term (30 days)
1. Lift feature adoption from 34% toward 59%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Enterprise accounts that received improved response sla showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0022*
*Risk Score: 63%*
*Segment: Enterprise*"
ANALYSIS-0012,CUST-0025,MicroServe LLC,SMB,Product Fit,Missing features,50800,10,67,30,27,50,0,"# Churn Risk Analysis: MicroServe LLC

## Executive Summary
MicroServe LLC (CUST-0025) is a SMB customer in Energy with $50,800 ARR and 10 months of tenure. Current risk score: 67%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Missing features
2. **Feature Adoption:** 30% (below the SMB benchmark of 70%)
3. **Support Activity:** 27 tickets per 30 days
4. **Engagement:** last interaction 50 days ago

## Detailed Analysis

### Churn Category: Product Fit
This account shows the classic pattern of product fit, specifically: missing features.

### Behavioural Patterns
- Feature adoption plateaued at 30%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For SMB accounts, product fit typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address missing features directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 30% toward 55%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received simplified workflow with automation showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0025*
*Risk Score: 67%*
*Segment: SMB*"
ANALYSIS-0013,CUST-0026,LoadBalance Group,SMB,Adoption Challenges,Lack of champions,34200,38,61,35,6,60,0,"# Churn Risk Analysis: LoadBalance Group

## Executive Summary
LoadBalance Group (CUST-0026) is a SMB customer in Media with $34,200 ARR and 38 months of tenure. Current risk score: 61%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Lack of champions
2. **Feature Adoption:** 35% (below the SMB benchmark of 70%)
3. **Support Activity:** 6 tickets per 30 days
4. **Engagement:** last interaction 60 days ago

## Detailed Analysis

### Churn Category: Adoption Challenges
This account shows the classic pattern of adoption challenges, specifically: lack of champions.

### Behavioural Patterns
- Feature adoption plateaued at 35%
- Support volume steady
- Engagement declining

### Segment-Specific Insight
For SMB accounts, adoption challenges typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address lack of champions directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 35% toward 60%
2. Reduce support load by better documentation
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received simplified user interface showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0026*
*Risk Score: 61%*
*Segment: SMB*"
ANALYSIS-0014,CUST-0027,ScaleSystems Inc,SMB,Adoption Challenges,Team not using it,44700,7,53,43,21,27,1,"# Churn Risk Analysis: ScaleSystems Inc

## Executive Summary
ScaleSystems Inc (CUST-0027) is a SMB customer in Manufacturing with $44,700 ARR and 7 months of tenure. Current risk score: 53%. Status: CHURNED on 2026-04-09.

## Risk Factors
1. **Primary Concern:** Team not using it
2. **Feature Adoption:** 43% (below the SMB benchmark of 70%)
3. **Support Activity:** 21 tickets per 30 days
4. **Engagement:** last interaction 27 days ago

## Detailed Analysis

### Churn Category: Adoption Challenges
This account shows the classic pattern of adoption challenges, specifically: team not using it.

### Behavioural Patterns
- Feature adoption plateaued at 43%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For SMB accounts, adoption challenges typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address team not using it directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 43% toward 68%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received provided implementation support showed significant improvement in retention metrics.

---
*Customer ID: CUST-0027*
*Risk Score: 53%*
*Segment: SMB*"
ANALYSIS-0015,CUST-0028,CacheMaster Inc,SMB,Competition,Competitor cheaper,52800,24,85,13,11,26,1,"# Churn Risk Analysis: CacheMaster Inc

## Executive Summary
CacheMaster Inc (CUST-0028) is a SMB customer in Technology with $52,800 ARR and 24 months of tenure. Current risk score: 85%. Status: CHURNED on 2026-05-30.

## Risk Factors
1. **Primary Concern:** Competitor cheaper
2. **Feature Adoption:** 13% (below the SMB benchmark of 70%)
3. **Support Activity:** 11 tickets per 30 days
4. **Engagement:** last interaction 26 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: competitor cheaper.

### Behavioural Patterns
- Feature adoption plateaued at 13%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For SMB accounts, competition typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address competitor cheaper directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 13% toward 38%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received added requested features quickly showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0028*
*Risk Score: 85%*
*Segment: SMB*"
ANALYSIS-0016,CUST-0033,CodeCraft Solutions,SMB,Competition,Better UX elsewhere,21900,7,61,35,42,71,0,"# Churn Risk Analysis: CodeCraft Solutions

## Executive Summary
CodeCraft Solutions (CUST-0033) is a SMB customer in Technology with $21,900 ARR and 7 months of tenure. Current risk score: 61%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Better UX elsewhere
2. **Feature Adoption:** 35% (below the SMB benchmark of 70%)
3. **Support Activity:** 42 tickets per 30 days
4. **Engagement:** last interaction 71 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: better ux elsewhere.

### Behavioural Patterns
- Feature adoption plateaued at 35%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For SMB accounts, competition typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address better ux elsewhere directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 35% toward 60%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received improved product based on feedback showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0033*
*Risk Score: 61%*
*Segment: SMB*"
ANALYSIS-0017,CUST-0034,QueueManager Solutions,Commercial,Support Issues,Unresolved bugs,146500,39,62,34,5,55,1,"# Churn Risk Analysis: QueueManager Solutions

## Executive Summary
QueueManager Solutions (CUST-0034) is a Commercial customer in Healthcare with $146,500 ARR and 39 months of tenure. Current risk score: 62%. Status: CHURNED on 2025-12-04.

## Risk Factors
1. **Primary Concern:** Unresolved bugs
2. **Feature Adoption:** 34% (below the Commercial benchmark of 70%)
3. **Support Activity:** 5 tickets per 30 days
4. **Engagement:** last interaction 55 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: unresolved bugs.

### Behavioural Patterns
- Feature adoption plateaued at 34%
- Support volume steady
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, support issues typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address unresolved bugs directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 34% toward 59%
2. Reduce support load by better documentation
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received set up weekly check-ins showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0034*
*Risk Score: 62%*
*Segment: Commercial*"
ANALYSIS-0018,CUST-0036,QueueManager Labs,Commercial,Support Issues,Slow response,93400,25,88,11,16,25,1,"# Churn Risk Analysis: QueueManager Labs

## Executive Summary
QueueManager Labs (CUST-0036) is a Commercial customer in Energy with $93,400 ARR and 25 months of tenure. Current risk score: 88%. Status: CHURNED on 2026-05-10.

## Risk Factors
1. **Primary Concern:** Slow response
2. **Feature Adoption:** 11% (below the Commercial benchmark of 70%)
3. **Support Activity:** 16 tickets per 30 days
4. **Engagement:** last interaction 25 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: slow response.

### Behavioural Patterns
- Feature adoption plateaued at 11%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For Commercial accounts, support issues typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address slow response directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 11% toward 36%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received assigned dedicated success manager showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0036*
*Risk Score: 88%*
*Segment: Commercial*"
ANALYSIS-0019,CUST-0038,InnovateLabs Corp,SMB,Competition,Better UX elsewhere,26800,18,63,33,10,49,0,"# Churn Risk Analysis: InnovateLabs Corp

## Executive Summary
InnovateLabs Corp (CUST-0038) is a SMB customer in Technology with $26,800 ARR and 18 months of tenure. Current risk score: 63%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Better UX elsewhere
2. **Feature Adoption:** 33% (below the SMB benchmark of 70%)
3. **Support Activity:** 10 tickets per 30 days
4. **Engagement:** last interaction 49 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: better ux elsewhere.

### Behavioural Patterns
- Feature adoption plateaued at 33%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For SMB accounts, competition typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address better ux elsewhere directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 33% toward 58%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received added requested features quickly showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0038*
*Risk Score: 63%*
*Segment: SMB*"
ANALYSIS-0020,CUST-0039,BackupCloud Solutions,Enterprise,Support Issues,Poor documentation,134200,14,51,45,17,27,1,"# Churn Risk Analysis: BackupCloud Solutions

## Executive Summary
BackupCloud Solutions (CUST-0039) is a Enterprise customer in Public Sector with $134,200 ARR and 14 months of tenure. Current risk score: 51%. Status: CHURNED on 2026-04-07.

## Risk Factors
1. **Primary Concern:** Poor documentation
2. **Feature Adoption:** 45% (below the Enterprise benchmark of 70%)
3. **Support Activity:** 17 tickets per 30 days
4. **Engagement:** last interaction 27 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: poor documentation.

### Behavioural Patterns
- Feature adoption plateaued at 45%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For Enterprise accounts, support issues typically calls for executive intervention.

## Recommended Actions

### Immediate (7 days)
1. Schedule an executive business review
2. Address poor documentation directly
3. Assign a dedicated technical account manager

### Short-term (30 days)
1. Lift feature adoption from 45% toward 70%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Enterprise accounts that received set up weekly check-ins showed significant improvement in retention metrics.

---
*Customer ID: CUST-0039*
*Risk Score: 51%*
*Segment: Enterprise*"
ANALYSIS-0021,CUST-0040,IntegrationHQ LLC,Commercial,Pricing Concerns,Too expensive,80600,18,84,14,13,29,1,"# Churn Risk Analysis: IntegrationHQ LLC

## Executive Summary
IntegrationHQ LLC (CUST-0040) is a Commercial customer in Education with $80,600 ARR and 18 months of tenure. Current risk score: 84%. Status: CHURNED on 2026-01-09.

## Risk Factors
1. **Primary Concern:** Too expensive
2. **Feature Adoption:** 14% (below the Commercial benchmark of 70%)
3. **Support Activity:** 13 tickets per 30 days
4. **Engagement:** last interaction 29 days ago

## Detailed Analysis

### Churn Category: Pricing Concerns
This account shows the classic pattern of pricing concerns, specifically: too expensive.

### Behavioural Patterns
- Feature adoption plateaued at 14%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For Commercial accounts, pricing concerns typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address too expensive directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 14% toward 39%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received offered discount for annual commitment showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0040*
*Risk Score: 84%*
*Segment: Commercial*"
